Durationinseconds,LocationLatitude,LocationLongitude,ResponseID,id,hav_gender,male,female,gender_nonbinary,hav_age,age,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_75_plus,age_85_plus,age_34_less,age_35_54,age_55_plus,hav_hh_income,hh_income,hh_income_less_25k,hh_income_25k_35k,hh_income_35k_50k,hh_income_50k_75k,hh_income_75k_100k,hh_income_100k_150k,hh_income_150k_200k,hh_income_200k_plus,hh_income_less_50k,hh_income_50k_100k,hh_income_100k_plus,consent,honest,USA,state,hav_region,region_west,region_northeast,region_midwest,region_south,res_Hawaii,strat,fpc,pw,ZIP,province_Canada,ZIP_Canada,state_Australia,state_NewZealand,pastvisit_state_hawaii,visited_Maui,visited_Oahu,visited_BigIsland,visited_Kauai,visited_Molokai,visited_Lanai,futurevisit_state_hawaii,yes_futurevisit_state_hawaii,maybe_futurevisit_state_hawaii,futurevisit_Maui,futurevisit_Oahu,futurevisit_BigIsland,futurevisit_Kauai,futurevisit_Molokai,futurevisit_Lanai,futurevisit_not_sure,WhyTravelNo,WhyTravelMaybe,worried_covid_travel,other_travel_plans,do_not_make_plans_far_advance,worried_waiting_conditions,worried_waiting_vaccine,res_island,hav_FamiliarTNC,FamiliarTNC_Mission,levels_familarityTNC,NeverHeardTNC,HeardTNC_NotMission,SomewhatFamiliarTNC,FamiliarTNC_VisitedLands,levels_prev_donateTNC,prev_donateTNC,donateTNC_once,donateTNC_few,donateTNC_regularly,donateTNC_monthly,donateTNC_annually,prevTNC_amt_donate,prev_visitWaikamoi_Yes,prev_visitWaikamoi_No,prev_visitWaikamoi_NotSure,year_visit_Waikamoi,PrevKnowledge_Biodiversity,PrevKnowledge_Plants,PrevKnowledge_Kiwikiu,PrevKnowledge_Akoh,PrevKnowledge_HPetrel,PrevKnowledge_HOwl,PrevKnowledge_Nene,PrevKnowledge_Iiwi,PrevKnowledge_Apapane,PrevKnowledge_Amakihi,PrevKnowledge_Alauahio,PrevKnowledge_ROD,PrevKnowledge_Issues,PrevKnowledge_Invasives,PrevKnowledge_BiodiversityLoss,PrevKnowledge_AvianPox,PrevKnowledge_Waikamoi,CV_donate_yes,CV_donate_bid,CV_donate_certain,CV_NOTdonate_certain,CV_donate_amt,CV_protest,CV_not_afford,CV_othercauses,AwareHike,SignUpHike,SignUpHikeYes,SignUpHikeMaybe,No_SignUpHike_Birds,No_SignUpHike_WaterSports,No_SignUpHike_NoHike,cat_birds_observe,sea_shore_birds,waterfowl_birds,song_birds,humming_birds,raptor_birds,game_birds,tropical_birds,lister,life_lister,year_lister,hav_trip_100mi,trip_100mi_plus_more_monthly,trip_100mi_plus_monthly,trip_100mi_plus_quarterly,trip_100mi_plus_semi_yearly,trip_100mi_plus_once_year,trip_100mi_plus_once_twoyears,yes_freq_trip_100mi_plus,hav_dest,dest_driving,dest_fly,obsr_other,obsr_plants,obsr_bees,obsr_butterflies,obsr_dragonflies,obsr_otherwildlife,obsr_few_otherbirders,obsr_more_otherbirders,obsr_vistas,obsr_forests,obsr_freshwater,obsr_saltwater,obsr_fields,believeTNC,believeTNC_fully,TNC_level_protect_enough,society_level_protect_enough,hav_member,member_env_org,TNC_member,SierraClub_member,Audubon_member,ABA_member,Cornell_member,NWF_member,WWF_member,hav_politics,conservative_politics,hav_race,race_white,race_black,race_asian,race_indigenous,hav_hispanic,hispanic,hav_edu,edu_hs,edu_hs_orless,edu_aa,edu_college,edu_grad,edu_college_plus,edu_less_thancollege,hav_employed,employed,retired,looking_work,unemployed,part_time,household_size,hav_kids,kids,yes_kids,hav_married,married,levels_usage_Facebook,levels_usage_Instagram,levels_usage_Twitter,levels_usage_socialmedia,ag_levels_usage_socialmedia,socialmedia_user,pct_covid_hh_income_change,CV_donate_no,tot_yes,tot_no,prop_CV_donate_yes_full,tot_yes_certain,tot_no_certain,prop_CV_donate_yes_certain,CV_donate_pos
1133,45.602493,-122.5125,R_1Ih1QG8hbiB8zIZ,509,1,0,1,0,1,60,0,0,0,0,1,0,0,0,0,0,0,1,0,25,1,0,0,0,0,0,0,0,1,0,0,1,1,1,49,1,1,0,0,0,Non-Hawai'i Res.,1,325746944,417089.56,98607,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,1,0,0,,1,1,3,0,0,1,0,1,0,0,0,,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,,1,0,0,1,1,0,0,0,0,"1,2,3,4,5,6,7",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,3,1,3,3,2,1,-37.5,1,55,60,.47826087,53,60,.46902654,0
933,35.248505,-106.6818,R_2fIrZYnBfDlBcNc,450,1,0,1,0,1,30,0,1,0,0,0,0,0,0,0,1,0,0,0,30,0,1,0,0,0,0,0,0,1,0,0,1,1,1,32,1,1,0,0,0,Non-Hawai'i Res.,1,325746944,417089.56,87556,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,1,0,0,0,,1,1,2,0,1,0,0,1,0,0,0,,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,25,,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,3,1,2,1,1,0,6,1,1,6,4,1,0,0,55,60,.47826087,53,60,.46902654,1
2151,21.289001,-157.8028,R_27wbnsWZd1HpJv5,368,1,0,1,0,1,60,0,0,0,0,1,0,0,0,0,0,0,1,0,62.5,0,0,0,1,0,0,0,0,0,1,0,1,1,1,12,1,1,0,0,0,Hawai'i Res.,2,1420491,5704.7832,96701,,,,,,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,2,1,1,2,0,1,0,0,3,1,0,1,0,0,0,0,0,1,0,,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,25,1,0,0,,0,1,0,1,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,7,1,1,7,5,1,-22.5,1,55,60,.47826087,53,60,.46902654,0
1044,21.453506,-158.0193,R_3CWoopyoIqRLB9U,971,1,0,1,0,1,40,0,0,1,0,0,0,0,0,0,0,1,0,0,125,0,0,0,0,0,1,0,0,0,0,1,1,1,1,12,1,1,0,0,0,Hawai'i Res.,2,1420491,5704.7832,96817,,,,,,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,,,0,0,0,0,0,2,1,1,3,0,0,1,0,1,0,0,0,,0,0,0,1,0,0,2015,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,25,1,1,0,,1,0,0,0,0,0,0,0,1,"4,5",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,"5,11",1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,3,1,1,1,1,0,1,7,7,7,5,1,-10,1,55,60,.47826087,53,60,.46902654,0
1560,37.297195,-120.4639,R_28GHoSj7X0AX2MF,490,1,0,1,0,1,60,0,0,0,0,1,0,0,0,0,0,0,1,0,42.5,0,0,1,0,0,0,0,0,1,0,0,1,1,1,5,1,1,0,0,0,Non-Hawai'i Res.,1,325746944,417089.56,95348,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,1,1,0,0,0,0,,1,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,5,1,1,1,1,1,6,1,5,6,4,1,-22.5,1,55,60,.47826087,53,60,.46902654,0
1791,37.751007,-97.821999,R_2BkXXL7IQmMD4iu,157,1,1,0,0,1,30,0,1,0,0,0,0,0,0,0,1,0,0,0,125,0,0,0,0,0,1,0,0,0,0,1,1,1,1,33,1,0,1,0,0,Non-Hawai'i Res.,1,325746944,417089.56,10013,,,,,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,,,0,0,0,0,0,,1,1,2,0,1,0,0,2,1,1,0,0,0,0,250,1,0,0,2017,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,25,1,1,25,,0,0,1,1,1,0,0,0,0,"1,7",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,"8,9,10,11,12",1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,5,1,3,1,1,0,6,6,6,6,4,1,22.5,0,55,60,.47826087,53,60,.46902654,1
1535,40.711395,-74.000504,R_22xMuQeyl5w7QYc,168,1,0,1,0,1,20,1,0,0,0,0,0,0,0,0,1,0,0,0,42.5,0,0,1,0,0,0,0,0,1,0,0,1,1,1,33,1,0,1,0,0,Non-Hawai'i Res.,1,325746944,417089.56,10002,,,,,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,,,0,0,0,0,0,,1,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,25,,0,0,0,1,1,0,0,0,0,"1,5,7",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,2,1,0,0,1,0,1,7,1,7,5,1,0,0,55,60,.47826087,53,60,.46902654,1
1597,29.487305,-98.453201,R_AMxt19sjYqubh5L,843,1,1,0,0,1,30,0,1,0,0,0,0,0,0,0,1,0,0,0,42.5,0,0,1,0,0,0,0,0,1,0,0,1,1,1,45,1,0,0,0,1,Non-Hawai'i Res.,1,325746944,417089.56,78259,,,,,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,,,0,0,0,0,0,,1,1,2,0,1,0,0,3,1,0,1,0,0,0,0,1,0,0,1992,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,25,1,1,0,,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,0,0,1,0,1,3,2,3,2,1,-22.5,1,55,60,.47826087,53,60,.46902654,0
1337,28.079102,-82.524498,R_3ELU4gWrZVEdlHk,521,1,0,1,0,1,70,0,0,0,0,0,1,0,0,0,0,0,1,0,42.5,0,0,1,0,0,0,0,0,1,0,0,1,1,1,10,1,0,0,0,1,Non-Hawai'i Res.,1,325746944,417089.56,33548,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,1,0,0,,1,1,3,0,0,1,0,2,1,1,0,0,0,0,5,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,25,1,1,25,,0,0,0,1,1,0,0,0,0,"1,2,5,7",1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,7,1,4,7,5,1,0,0,55,60,.47826087,53,60,.46902654,1
1113,35.166107,-120.4651,R_2XcFGpfNsgx7wDm,532,1,0,1,0,1,60,0,0,0,0,1,0,0,0,0,0,0,1,0,42.5,0,0,1,0,0,0,0,0,1,0,0,1,1,1,5,1,1,0,0,0,Non-Hawai'i Res.,1,325746944,417089.56,93433,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,1,0,0,,1,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,,1,0,0,0,0,0,0,0,1,"5,7",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,1,0,7,7,1,7,5,1,0,1,55,60,.47826087,53,60,.46902654,0
