id,CV_donate_yes,CV_donate_bid
408,0,250
4123,1,250
3026,1,250
1439,1,250
678,1,250
1123,0,250
922,0,250
217,1,250
69,1,250
5025,0,250
462,1,250
844,0,250
180,0,250
1217,0,250
781,0,250
332,0,250
821,0,250
419,1,250
1193,1,250
926,0,250
976,1,250
3306,0,250
2800,0,250
1060,0,250
3869,1,250
1222,0,250
1078,0,250
1012,0,250
107,0,250
3879,0,250
1219,0,250
2347,1,250
1130,0,250
230,1,250
718,0,250
1175,0,250
1341,0,250
713,0,250
4060,0,250
302,1,250
277,1,250
520,0,250
1510,0,250
1084,0,250
665,1,250
984,0,250
700,0,250
3099,0,250
1139,0,250
491,1,250
1437,1,250
1190,0,250
472,0,250
1144,0,250
157,0,250
1262,0,250
972,0,250
1159,1,250
1441,0,250
499,0,250
2656,0,250
1420,0,250
5104,0,250
1100,1,250
1791,1,250
1089,0,250
1646,1,250
341,1,250
2956,1,250
416,0,250
2469,0,250
2748,0,250
188,1,250
3953,0,250
322,1,250
3777,0,250
136,1,250
2781,0,250
203,1,250
2769,1,250
1199,0,250
2145,1,250
2753,1,250
628,1,250
812,0,250
3903,1,250
1790,1,250
630,1,250
2647,1,250
1664,0,250
1381,1,250
1162,0,250
771,0,250
1630,1,250
3999,0,250
1504,0,250
430,0,250
46,0,250
4103,0,250
3919,0,250
238,0,250
3887,0,250
1519,0,250
1020,0,250
2955,0,250
995,0,250
1313,1,250
917,0,500
673,0,500
354,0,500
1088,0,500
709,1,500
3898,0,500
25,0,500
647,1,500
16,0,500
3864,0,500
216,1,500
677,0,500
1062,0,500
1125,0,500
1128,0,500
3247,0,500
111,0,500
169,1,500
2355,0,500
64,1,500
2693,0,500
48,0,500
441,1,500
3208,1,500
135,1,500
1165,0,500
161,0,500
1198,0,500
1111,0,500
728,0,500
1179,0,500
1180,0,500
2761,0,500
5089,0,500
1472,0,500
411,1,500
3307,0,500
2637,0,500
2623,0,500
84,0,500
525,1,500
3994,0,500
1019,1,500
287,0,500
1388,1,500
3319,0,500
1302,1,500
651,1,500
597,0,500
3110,0,500
1752,1,500
1056,1,500
1495,0,500
3886,0,500
105,0,500
942,0,500
1816,0,500
426,0,500
934,0,500
2776,1,500
296,1,500
415,0,500
379,0,500
2463,1,500
595,1,500
505,0,500
181,1,500
88,0,500
1218,0,500
841,0,500
884,1,500
683,1,500
3876,1,500
1671,1,500
948,1,500
1113,1,500
2653,0,500
947,0,500
1822,0,500
1197,0,500
192,1,500
1428,0,500
4249,1,500
609,1,500
122,1,500
1445,1,500
1188,0,500
1320,1,500
1486,0,500
2862,1,500
967,1,500
669,1,500
362,1,500
2788,1,500
3943,0,500
810,0,500
2884,1,500
256,1,500
1391,0,500
1484,0,500
643,0,500
78,1,500
1681,0,500
1043,0,500
1203,0,500
1368,0,500
823,0,500
988,0,500
305,1,500
3295,0,500
3034,0,500
445,1,500
599,1,750
2760,0,750
403,0,750
3884,0,750
1107,0,750
1079,0,750
15,1,750
1225,0,750
3954,0,750
1401,0,750
4104,0,750
719,0,750
3813,0,750
10,0,750
1173,0,750
1834,1,750
598,1,750
359,0,750
3022,1,750
2629,0,750
623,1,750
171,1,750
2929,0,750
2848,0,750
3870,1,750
4257,0,750
2739,0,750
2786,0,750
1487,1,750
1176,0,750
1322,0,750
608,0,750
176,1,750
3045,0,750
987,0,750
1148,0,750
838,0,750
2756,0,750
121,1,750
1210,0,750
958,0,750
2654,0,750
1725,1,750
440,0,750
4211,0,750
2618,0,750
814,0,750
3264,0,750
4042,0,750
3858,0,750
1143,0,750
3995,0,750
650,1,750
5032,0,750
981,0,750
928,0,750
1803,1,750
294,0,750
895,0,750
1494,0,750
291,1,750
186,1,750
686,1,750
3330,0,750
3087,0,750
315,1,750
3030,1,750
1011,0,750
266,1,750
840,1,750
1074,0,750
1807,0,750
3126,0,750
241,1,750
2797,0,750
1082,0,750
1224,0,750
479,0,750
2932,0,750
674,1,750
1196,0,750
137,0,750
2747,0,750
1327,0,750
103,0,750
1044,0,750
1403,1,750
1063,0,750
2636,0,750
1683,0,750
65,1,750
3974,0,750
212,1,750
202,1,750
2835,0,750
127,0,750
526,0,750
3003,1,750
1331,0,750
705,1,750
900,1,750
34,0,750
3244,0,750
204,1,750
1919,1,750
773,0,750
703,0,750
1851,0,750
336,1,750
877,0,750
1621,1,750
313,0,750
1027,0,1000
53,1,1000
162,0,1000
1463,0,1000
242,0,1000
1418,1,1000
2642,0,1000
1163,0,1000
1497,0,1000
239,1,1000
385,0,1000
2905,1,1000
1775,1,1000
1226,0,1000
3341,0,1000
1145,0,1000
1364,0,1000
1652,0,1000
1656,1,1000
133,1,1000
1091,0,1000
1753,1,1000
1050,0,1000
3792,0,1000
3860,0,1000
3041,0,1000
904,0,1000
303,1,1000
826,0,1000
442,1,1000
281,1,1000
2787,1,1000
280,1,1000
809,0,1000
1390,1,1000
908,0,1000
912,0,1000
1059,0,1000
484,0,1000
2987,1,1000
3035,0,1000
2630,1,1000
1182,0,1000
352,0,1000
653,0,1000
99,1,1000
682,0,1000
27,1,1000
3074,0,1000
789,0,1000
819,0,1000
4267,0,1000
666,0,1000
1465,0,1000
4039,0,1000
1204,0,1000
646,0,1000
1326,0,1000
1008,0,1000
1507,0,1000
3298,0,1000
1137,0,1000
1340,0,1000
2916,0,1000
3934,0,1000
1478,0,1000
418,1,1000
1856,1,1000
1680,0,1000
580,0,1000
940,1,1000
89,1,1000
409,0,1000
1195,0,1000
949,0,1000
424,1,1000
197,1,1000
1325,1,1000
2621,1,1000
3877,0,1000
1066,0,1000
3873,0,1000
507,0,1000
999,0,1000
306,1,1000
2751,0,1000
2648,0,1000
71,1,1000
338,0,1000
1085,0,1000
2741,0,1000
1015,0,1000
3757,1,1000
4262,1,1000
1840,1,1000
5101,1,1000
461,1,1000
175,0,1000
231,1,1000
701,0,1000
1184,0,1000
183,1,1000
323,0,1000
2657,0,1000
1194,0,1000
1187,0,1000
1132,0,1000
1083,0,1000
676,0,1500
1443,0,1500
811,0,1500
939,0,1500
2799,0,1500
3872,1,1500
2875,0,1500
1064,0,1500
1318,0,1500
13,1,1500
206,1,1500
1200,0,1500
3723,0,1500
1809,1,1500
1643,0,1500
710,1,1500
832,0,1500
1468,1,1500
1728,1,1500
187,1,1500
42,0,1500
226,1,1500
110,1,1500
1037,0,1500
3501,0,1500
1440,0,1500
640,1,1500
420,0,1500
1106,0,1500
255,1,1500
1028,0,1500
920,0,1500
1181,0,1500
815,0,1500
3084,0,1500
410,0,1500
1658,0,1500
286,0,1500
3128,0,1500
2802,0,1500
158,0,1500
1518,1,1500
292,1,1500
2641,0,1500
1164,0,1500
1291,0,1500
91,1,1500
4212,0,1500
1105,0,1500
1075,0,1500
1007,0,1500
327,0,1500
1150,0,1500
3303,0,1500
252,0,1500
1317,0,1500
662,1,1500
2718,0,1500
457,0,1500
1662,0,1500
270,1,1500
282,0,1500
1475,0,1500
3895,0,1500
3049,1,1500
1029,0,1500
565,0,1500
74,0,1500
3803,0,1500
2759,0,1500
170,0,1500
199,1,1500
989,0,1500
971,0,1500
3880,0,1500
716,0,1500
476,0,1500
1192,0,1500
1161,0,1500
566,1,1500
834,0,1500
314,0,1500
1846,1,1500
1003,0,1500
339,1,1500
1119,1,1500
3897,0,1500
4062,0,1500
2910,0,1500
839,0,1500
2754,0,1500
2907,0,1500
961,0,1500
681,0,1500
1617,1,1500
3179,0,1500
734,0,1500
3224,0,1500
3862,0,1500
1375,1,1500
427,1,1500
1142,0,1500
611,0,1500
658,0,1500
218,1,1500
177,0,1500
3977,0,1500
1426,1,1500
1642,0,1500
1014,0,1500
104,1,1500
2622,0,1500
400,0,1500
3108,0,1500
2831,1,1500
1058,0,2000
3933,0,2000
72,0,2000
711,0,2000
191,1,2000
4160,0,2000
1191,0,2000
399,0,2000
422,1,2000
2808,0,2000
3134,0,2000
512,0,2000
2796,1,2000
1344,0,2000
837,1,2000
661,1,2000
1186,0,2000
1129,0,2000
421,0,2000
2896,1,2000
672,1,2000
1348,1,2000
1156,0,2000
4224,0,2000
3871,0,2000
301,0,2000
1177,0,2000
1092,0,2000
1453,1,2000
31,0,2000
5004,0,2000
1214,0,2000
128,1,2000
3899,0,2000
571,1,2000
813,0,2000
448,0,2000
2768,1,2000
4251,1,2000
1076,0,2000
1526,0,2000
997,0,2000
3705,0,2000
119,1,2000
1503,0,2000
1833,0,2000
801,0,2000
2757,0,2000
182,0,2000
477,1,2000
1679,0,2000
344,1,2000
1206,0,2000
376,0,2000
2650,0,2000
1399,1,2000
503,1,2000
21,1,2000
3285,0,2000
1000,0,2000
1666,0,2000
156,1,2000
1264,0,2000
1112,0,2000
636,1,2000
220,1,2000
3855,0,2000
1392,1,2000
3892,0,2000
209,1,2000
816,0,2000
1378,1,2000
3004,0,2000
919,0,2000
1120,0,2000
521,1,2000
1474,0,2000
1324,0,2000
855,0,2000
1,0,2000
4047,0,2000
4255,0,2000
2846,0,2000
3050,0,2000
1697,0,2000
198,1,2000
615,1,2000
279,0,2000
2633,0,2000
1103,0,2000
980,0,2000
634,1,2000
483,0,2000
3066,0,2000
707,0,2000
660,1,2000
1072,0,2000
1827,1,2000
144,0,2000
1071,0,2000
3342,0,2000
1221,0,2000
2734,0,2000
1376,0,2000
619,1,2000
1457,0,2000
1838,1,2000
2742,0,2000
234,0,2000
2340,1,2000
1859,0,2000
1039,0,2000
1522,1,2000
